PROV26;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;Mohkínstsis;x
PROV29;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;Tibbiyot Shlyapasi;x
PROV92;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;Cœur-d'Alêne;x
PROV100;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;Fénix;x
PROV102;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;Tucsón;x
PROV116;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;Ammalapáshkuua;x
PROV117;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;Ituhtaáwe;x
PROV120;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;Ínyan Okábleca Othúnwahe;x
PROV122;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;Mni Lúzahan Othúnwahe;x
PROV124;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;Chasmú Okáhmi;x
PROV141;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;Nueva Cádiz;x
PROV254;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;Béal Feirste;x
PROV255;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;Daire;x
PROV256;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;Ard Mhacha;x
PROV257;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;Dún na nGall;x
PROV258;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;x
PROV259;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;Sligeach;x
PROV260;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;x
PROV261;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;Luimneach;x
PROV262;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;Port Láirge;x
PROV263;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;Baile Átha Cliath;x
PROV264;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;Cill Dara;x
PROV265;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;Loch Garman;x
PROV269;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;Embro;x
PROV273;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;Caerdydd;x
PROV274;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;Aberteifi;x
PROV276;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;Caergybi;x
PROV277;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;Lerpwl;x
PROV278;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;Manceinon;x
PROV285;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;Caerllion;x
PROV286;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;Amwythig;x
PROV289;Caerlyr;Caerlyr;Caerlyr;Caerlyr;Caerlyr;Caerlyr;Caerlyr;Caerlyr;Caerlyr;Caerlyr;Caerlyr;Caerlyr;Caerlyr;x
PROV291;Caergrawnt;Caergrawnt;Caergrawnt;Caergrawnt;Caergrawnt;Caergrawnt;Caergrawnt;Caergrawnt;Caergrawnt;Caergrawnt;Caergrawnt;Caergrawnt;Caergrawnt;x
PROV294;Rhydychen;Rhydychen;Rhydychen;Rhydychen;Rhydychen;Rhydychen;Rhydychen;Rhydychen;Rhydychen;Rhydychen;Rhydychen;Rhydychen;Rhydychen;x
PROV296;Caerodor;Caerodor;Caerodor;Caerodor;Caerodor;Caerodor;Caerodor;Caerodor;Caerodor;Caerodor;Caerodor;Caerodor;Caerodor;x
PROV298;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;Caerfaddon;x
PROV299;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;Aberplym;x
PROV300;Llundain;Llundain;Llundain;Llundain;Llundain;Llundain;Llundain;Llundain;Llundain;Llundain;Llundain;Llundain;Llundain;x
PROV301;Caergaint;Caergaint;Caergaint;Caergaint;Caergaint;Caergaint;Caergaint;Caergaint;Caergaint;Caergaint;Caergaint;Caergaint;Caergaint;x
PROV329;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;Gøteborg;x
PROV334;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;Malmø;x
PROV343;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;Helsingfors;x
PROV347;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;Tammerfors;x
PROV349;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;Lyndanisse;x
PROV390;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;Anvers;x
PROV423;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;Naoned;x
PROV424;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;Roazhon;x
PROV445;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;Lemòtges;x
PROV454;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;Grasanòbol;x
PROV458;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;Bordèu;x
PROV467;Enderia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;Marsiglia;x
PROV468;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;Avignone;x
PROV552;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;Chotebuz;x
PROV558;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;Drážd'any;x
PROV576;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;Aix-la-Chapelle;x
PROV627;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;Karlovy Vary;x
PROV636;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;Besztercebánya;x
PROV647;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;Nagyvárad;x
PROV654;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;Kolozsvár;x
PROV659;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;Brassó;x
PROV683;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;Lehnice;x
PROV684;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;Opolí;x
PROV687;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;Zhorelec;x
PROV699;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;Poznan;x
PROV702;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;Lwów;x
PROV745;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;Livorno;x
PROV748;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;Grosseto;x
PROV800;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;Olokénion;x
PROV807;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;Monastiri;x
PROV815;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;Philipupoli;x
PROV826;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;Corcyra;x
PROV830;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;Alexandroupolis;x
PROV851;Dyrrachion;Dyrrachion;Dyrrachion;Dyrrachion;Dyrrachion;Dyrrachion;Dyrrachion;Dyrrachion;Dyrrachion;Dyrrachion;Dyrrachion;Dyrrachion;Dyrrachion;x
PROV853;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;Argyrocastron;x
PROV858;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;Saranta Ekklisies;x
PROV860;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;Constantinopolis;x
PROV861;Scutarion;Scutarion;Scutarion;Scutarion;Scutarion;Scutarion;Scutarion;Scutarion;Scutarion;Scutarion;Scutarion;Scutarion;Scutarion;x
PROV862;Nicomedia;Nicomedia;Nicomedia;Nicomedia;Nicomedia;Nicomedia;Nicomedia;Nicomedia;Nicomedia;Nicomedia;Nicomedia;Nicomedia;Nicomedia;x
PROV865;Dardanelles;Dardanelles;Dardanelles;Dardanelles;Dardanelles;Dardanelles;Dardanelles;Dardanelles;Dardanelles;Dardanelles;Dardanelles;Dardanelles;Dardanelles;x
PROV866;Nikopolis;Nikopolis;Nikopolis;Nikopolis;Nikopolis;Nikopolis;Nikopolis;Nikopolis;Nikopolis;Nikopolis;Nikopolis;Nikopolis;Nikopolis;x
PROV867;Cotyaeum;Cotyaeum;Cotyaeum;Cotyaeum;Cotyaeum;Cotyaeum;Cotyaeum;Cotyaeum;Cotyaeum;Cotyaeum;Cotyaeum;Cotyaeum;Cotyaeum;x
PROV868;Dorylaeum;Dorylaeum;Dorylaeum;Dorylaeum;Dorylaeum;Dorylaeum;Dorylaeum;Dorylaeum;Dorylaeum;Dorylaeum;Dorylaeum;Dorylaeum;Dorylaeum;x
PROV869;Smyrne;Smyrne;Smyrne;Smyrne;Smyrne;Smyrne;Smyrne;Smyrne;Smyrne;Smyrne;Smyrne;Smyrne;Smyrne;x
PROV873;Iconion;Iconion;Iconion;Iconion;Iconion;Iconion;Iconion;Iconion;Iconion;Iconion;Iconion;Iconion;Iconion;x
PROV874;Polydorion;Polydorion;Polydorion;Polydorion;Polydorion;Polydorion;Polydorion;Polydorion;Polydorion;Polydorion;Polydorion;Polydorion;Polydorion;x
PROV875;Attalia;Attalia;Attalia;Attalia;Attalia;Attalia;Attalia;Attalia;Attalia;Attalia;Attalia;Attalia;Attalia;x
PROV876;Ancyra;Ancyra;Ancyra;Ancyra;Ancyra;Ancyra;Ancyra;Ancyra;Ancyra;Ancyra;Ancyra;Ancyra;Ancyra;x
PROV878;Caesarea;Caesarea;Caesarea;Caesarea;Caesarea;Caesarea;Caesarea;Caesarea;Caesarea;Caesarea;Caesarea;Caesarea;Caesarea;x
PROV879;Sebastea;Sebastea;Sebastea;Sebastea;Sebastea;Sebastea;Sebastea;Sebastea;Sebastea;Sebastea;Sebastea;Sebastea;Sebastea;x
PROV894;Antioch;Antioch;Antioch;Antioch;Antioch;Antioch;Antioch;Antioch;Antioch;Antioch;Antioch;Antioch;Antioch;x
PROV958;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;Kyiv;x
PROV962;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;Czernihów;x
PROV1036;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;Ästerxan;x
PROV1044;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;Irïmbur;x
PROV2533;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;Marosvásárhely;x
PROV2538;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;Újszandec;x
